C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,03:00:00,REGULAR,0004885441,0001656900                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,07:00:00,REGULAR,0004885449,0001656915                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,11:00:00,REGULAR,0004885542,0001657024                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,15:00:00,REGULAR,0004885801,0001657106                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,19:00:00,REGULAR,0004886214,0001657165                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,23:00:00,REGULAR,0004886461,0001657202                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,03:00:00,REGULAR,0004886521,0001657218                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,07:00:00,REGULAR,0004886534,0001657225                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,11:00:00,REGULAR,0004886593,0001657279                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,15:00:00,REGULAR,0004886791,0001657330                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,19:00:00,REGULAR,0004887062,0001657399                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,23:00:00,REGULAR,0004887213,0001657436                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,03:00:00,REGULAR,0004887253,0001657443                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,07:00:00,REGULAR,0004887267,0001657488                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,11:00:00,REGULAR,0004887450,0001657835                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,15:00:00,REGULAR,0004887725,0001657924                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,19:00:00,REGULAR,0004888608,0001657994                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,23:00:00,REGULAR,0004888958,0001658041                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,03:00:00,REGULAR,0004889020,0001658046                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,07:00:00,REGULAR,0004889045,0001658098                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,08:20:38,REGULAR,0004889093,0001658190                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,11:00:00,REGULAR,0004889243,0001658447                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,15:00:00,REGULAR,0004889525,0001658526                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,19:00:00,REGULAR,0004890451,0001658619                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,23:00:00,REGULAR,0004890855,0001658656                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,03:00:00,REGULAR,0004890900,0001658667                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,07:00:00,REGULAR,0004890912,0001658698                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,11:00:00,REGULAR,0004891076,0001659040                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,19:00:00,REGULAR,0004892294,0001659234                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,23:00:00,REGULAR,0004892591,0001659259                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,03:00:00,REGULAR,0004892646,0001659265                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,07:00:00,REGULAR,0004892651,0001659279                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,11:00:00,REGULAR,0004892707,0001659332                                     
